iter	Logloss	Accuracy
0	0.6755625355	0.7914668013
1	0.6580514067	0.8212572583
2	0.6430811139	0.820373643
3	0.6283414978	0.8273163343
4	0.6144651077	0.8307245645
5	0.6018134687	0.8326180258
6	0.5896031889	0.836531179
7	0.5782304608	0.8377934865
8	0.5670475878	0.8364049482
9	0.5570990089	0.836026256
10	0.5471219832	0.837036102
11	0.5380048582	0.8369098712
12	0.5292975622	0.8366574097
13	0.5210374823	0.8377934865
14	0.513495047	0.837036102
15	0.5066165061	0.839560717
16	0.5001746474	0.8406967937
17	0.4944124378	0.8406967937
18	0.4883188055	0.8409492552
19	0.482354547	0.8414541782
20	0.4769785738	0.8414541782
21	0.4712327809	0.8437263317
22	0.4661848339	0.844105024
23	0.4612990325	0.8439787932
24	0.4572153244	0.843600101
25	0.4532913498	0.8454935622
26	0.4490073727	0.8447361777
27	0.4454037794	0.8459984852
28	0.4415550759	0.8453673315
29	0.4379281107	0.8453673315
30	0.4345580961	0.845619793
31	0.4314071628	0.846124716
32	0.4286079329	0.846629639
33	0.4251482788	0.8472607927
34	0.4224822883	0.848649331
35	0.4197774281	0.8492804847
36	0.4173379032	0.849154254
37	0.4150546419	0.849659177
38	0.4126858628	0.8504165615
39	0.4103670603	0.8497854077
40	0.4078470983	0.8499116385
41	0.4057035877	0.8499116385
42	0.4036807849	0.8500378692
43	0.4019296962	0.8504165615
44	0.3999582061	0.8509214845
45	0.397989058	0.8513001767
46	0.3962734693	0.8519313305
47	0.3941307656	0.8510477152
48	0.3925139884	0.8514264075
49	0.3907594926	0.852183792
50	0.3891908645	0.8533198687
51	0.3876354782	0.853698561
52	0.3860375048	0.854203484
53	0.3846531272	0.85521333
54	0.383292089	0.8545821762
55	0.3814953534	0.8548346377
56	0.38017398	0.8555920222
57	0.3784752858	0.8558444837
58	0.3770628267	0.8550870992
59	0.3754804114	0.8559707145
60	0.3740222846	0.857233022
61	0.3729051924	0.8568543297
62	0.3716807184	0.8578641757
63	0.3705814247	0.857233022
64	0.3693220707	0.857737945
65	0.3681839055	0.8579904065
66	0.3670950973	0.8588740217
67	0.3661869141	0.8588740217
68	0.3651312247	0.8583690987
69	0.3640368332	0.858747791
70	0.3628598071	0.859757637
71	0.3618453277	0.8600100985
72	0.3607970499	0.8603887907
73	0.3598703302	0.8605150215
74	0.3590322865	0.861272406
75	0.3581447356	0.8603887907
76	0.3573104684	0.8611461752
77	0.3565569376	0.8615248675
78	0.355585498	0.8613986367
79	0.354896495	0.8620297905
80	0.354023401	0.8619035597
81	0.3530465907	0.862282252
82	0.3523920403	0.8626609442
83	0.3515560926	0.8629134057
84	0.3507175527	0.8625347135
85	0.3499424657	0.8625347135
86	0.3493531708	0.862787175
87	0.3485417586	0.8634183287
88	0.3477024887	0.8629134057
89	0.3471778752	0.8636707902
90	0.3465369452	0.8639232517
91	0.3459747225	0.8639232517
92	0.345493516	0.8639232517
93	0.3449038503	0.8640494825
94	0.3439692176	0.8649330977
95	0.3431098573	0.8649330977
96	0.3425278466	0.8650593285
97	0.3420325794	0.8650593285
98	0.341367339	0.8661954052
99	0.3407803492	0.865816713
100	0.3400962929	0.866321636
101	0.3391421652	0.8660691745
102	0.3384975176	0.866321636
103	0.33792306	0.8661954052
104	0.3372386916	0.8667003282
105	0.3367208767	0.8664478667
106	0.3361286086	0.8664478667
107	0.3356864872	0.8665740975
108	0.335188689	0.8667003282
109	0.3345555069	0.8673314819
110	0.3339436037	0.8677101742
111	0.3333366815	0.8679626357
112	0.3328826696	0.8678364049
113	0.3325037907	0.8673314819
114	0.332069006	0.8680888664
115	0.3314175069	0.8685937894
116	0.3307797876	0.8698560969
117	0.3302196463	0.8704872507
118	0.329391863	0.8702347892
119	0.3290112677	0.8706134814
120	0.3283306811	0.8703610199
121	0.3278254154	0.8701085584
122	0.3273236896	0.8701085584
123	0.3268650857	0.8706134814
124	0.3262827448	0.8713708659
125	0.3258055156	0.8721282504
126	0.3253199287	0.8716233274
127	0.3249358006	0.8717495582
128	0.3243034925	0.8730118657
129	0.3239666941	0.8725069427
130	0.3234861124	0.8730118657
131	0.3229167433	0.8728856349
132	0.3223458565	0.8728856349
133	0.3220649242	0.8730118657
