iter	Passed	Remaining
0	1197	1196433
1	1620	808647
2	1942	645490
3	2323	578551
4	2622	521932
5	2946	488095
6	3361	476795
7	3977	493234
8	4323	476016
9	4637	459155
10	4938	444000
11	5230	430603
12	5495	417243
13	5828	410472
14	6310	414364
15	6621	407220
16	6922	400279
17	7340	400437
18	7763	400839
19	8077	395778
20	8384	390900
21	8685	386102
22	9090	386133
23	9454	384480
24	9770	381052
25	10074	377415
26	10424	375669
27	10784	374369
28	11195	374847
29	11558	373713
30	11905	372150
31	12253	370680
32	12585	368779
33	12897	366438
34	13260	365615
35	13628	364929
36	13953	363173
37	14289	361745
38	14649	360980
39	14980	359530
40	15326	358490
41	15650	356969
42	15960	355223
43	16344	355129
44	16722	354885
45	17049	353589
46	17384	352489
47	17730	351650
48	18066	350638
49	18402	349643
50	18892	351555
51	19243	350816
52	19597	350166
53	19893	348498
54	20168	346537
55	20476	345171
56	20766	343550
57	21072	342248
58	21368	340816
59	21663	339392
60	21950	337900
61	22265	336859
62	22569	335669
63	22872	334514
64	23193	333636
65	23472	332175
66	23764	330927
67	24047	329586
68	24354	328607
69	24668	327742
70	24950	326462
71	25244	325375
72	25535	324269
73	25830	323233
74	26134	322328
75	26457	321661
76	26756	320729
77	27045	319696
78	27348	318837
79	27649	317965
80	27931	316905
81	28228	316020
82	28522	315116
83	28829	314373
84	29117	313444
85	29408	312545
86	29696	311642
87	29999	310899
88	30281	309956
89	30584	309240
90	30876	308422
91	31165	307589
92	31440	306625
93	31719	305720
94	32057	305387
95	32412	305215
96	32764	305015
97	33110	304751
98	33434	304290
99	33757	303815
100	34042	303014
101	34353	302449
102	34655	301807
103	34944	301059
104	35255	300511
105	35530	299662
106	35852	299214
107	36150	298579
108	36436	297842
109	36736	297232
110	37046	296705
111	37348	296123
112	37661	295623
113	37947	294928
114	38261	294447
115	38549	293771
116	38837	293109
117	39148	292615
118	39468	292201
119	39766	291623
120	40074	291122
121	40373	290553
122	40674	290014
123	40967	289414
124	41262	288840
125	41708	289309
126	42047	289036
127	42446	289169
128	42858	289378
129	43216	289220
130	43516	288669
131	43853	288367
132	44173	287960
133	44555	287946
134	44913	287779
135	45395	288396
136	45740	288131
137	46065	287739
138	46394	287379
139	46711	286943
140	47046	286618
141	47397	286386
142	47738	286098
143	48096	285904
144	48556	286314
145	49022	286750
146	49418	286759
147	49740	286341
148	50060	285914
149	50379	285483
150	50684	284972
151	50985	284447
152	51270	283833
153	51584	283379
154	51893	282904
155	52188	282352
156	52483	281803
157	52798	281370
158	53170	281234
159	53483	280786
160	53792	280322
161	54115	279932
162	54435	279524
163	54783	279261
164	55095	278817
165	55403	278351
166	55733	277998
167	56038	277525
168	56361	277138
169	56671	276688
170	57008	276374
171	57334	276006
172	57651	275593
173	57981	275244
174	58295	274819
175	58597	274343
176	58873	273744
177	59187	273325
178	59475	272790
179	59821	272521
180	60125	272058
181	60437	271636
182	60741	271178
183	61040	270701
184	61336	270213
185	61621	269678
186	61922	269213
187	62219	268733
188	62536	268342
189	62859	267979
190	63188	267641
191	63493	267202
192	63834	266914
193	64143	266491
194	64431	265984
195	64758	265641
196	65049	265152
197	65386	264848
198	65687	264399
199	65975	263900
200	66270	263432
201	66543	262879
202	66845	262444
203	67157	262046
204	67476	261676
205	67809	261362
206	68128	260995
207	68442	260608
208	68759	260233
209	69133	260073
210	69968	261634
211	70685	262736
212	71058	262548
213	71426	262341
214	71743	261947
215	72068	261581
216	72374	261149
217	72698	260780
218	72985	260280
219	73287	259837
220	73624	259517
221	73923	259063
222	74232	258648
223	74523	258171
224	74799	257642
225	75090	257168
226	75401	256763
227	75700	256319
228	76022	255954
229	76300	255439
230	76602	255008
231	76896	254555
232	77212	254170
233	77513	253739
234	77834	253377
235	78172	253068
236	78583	252993
237	78955	252790
238	79317	252553
239	79617	252123
240	79920	251699
241	80227	251291
242	80519	250835
243	80826	250430
244	81127	250006
245	81424	249567
246	81741	249195
247	82107	248970
248	82442	248652
249	82770	248312
250	83084	247928
251	83424	247623
252	83806	247444
253	84164	247191
254	84493	246854
255	84830	246539
256	85162	246210
257	85535	245998
258	85885	245717
259	86210	245367
260	86532	245008
261	86851	244642
262	87189	244330
263	87517	243989
264	87849	243657
265	88190	243352
266	88560	243127
267	88879	242760
268	89210	242427
269	89535	242076
270	89884	241793
271	90250	241552
272	90572	241195
273	90915	240893
274	91287	240667
275	91643	240397
276	91979	240076
277	92330	239792
278	92621	239355
279	92946	239005
280	93254	238610
281	93583	238272
282	93922	237959
283	94224	237551
284	94528	237149
285	95025	237231
286	95500	237253
